Year,Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Third Year,7,2,6,Right-handed,Right leg in first,On your back,None,0
First Year,4,2,6,Right-handed,Right leg in first,On your back,None,0
Second Year,4,3,6,Right-handed,Right leg in first,On your back,None,0
Second Year,1,3,6,Right-handed,Right leg in first,On your back,None,0
Third Year,10,6,6,Right-handed,Right leg in first,On your back,None,0
First Year,7,15,6,Right-handed,Right leg in first,On your back,None,0
Second Year,3,20,6,Right-handed,Right leg in first,On your back,None,0
First Year,6,4,6.5,Right-handed,Right leg in first,On your back,None,0
Fourth Year,4,2,7,Right-handed,Right leg in first,On your back,None,0
Third Year,4,2,7,Right-handed,Right leg in first,On your back,None,0
Third Year,3,2,7,Right-handed,Right leg in first,On your back,None,0
Second Year,7,3,7,Right-handed,Right leg in first,On your back,None,0
First Year,5,3,7,Right-handed,Right leg in first,On your back,None,0
Second Year,3,3,7,Right-handed,Right leg in first,On your back,None,0
Third Year,3,3,7,Right-handed,Right leg in first,On your back,None,0
First Year,8,4,7,Right-handed,Right leg in first,On your back,None,0
Third Year,7,4,7,Right-handed,Right leg in first,On your back,None,0
First Year,6,4,7,Right-handed,Right leg in first,On your back,None,0
First Year,5,4,7,Right-handed,Right leg in first,On your back,None,0
Second Year,4,5,7,Right-handed,Right leg in first,On your back,None,0
Fourth Year,2,5,7,Right-handed,Right leg in first,On your back,None,0
Second Year,3,10,7,Right-handed,Right leg in first,On your back,None,0
First Year,4,20,7,Right-handed,Right leg in first,On your back,None,0
Fourth Year,6,1,8,Right-handed,Right leg in first,On your back,None,0
First Year,3,1,8,Right-handed,Right leg in first,On your back,None,0
Second Year,4,3,8,Right-handed,Right leg in first,On your back,None,0
Third Year,5,4,8,Right-handed,Right leg in first,On your back,None,0
Second Year,5,5,8,Right-handed,Right leg in first,On your back,None,0
Third Year,5,6,8,Right-handed,Right leg in first,On your back,None,0
Third Year,5,6,8,Right-handed,Right leg in first,On your back,None,0
Second Year,8,9,8,Right-handed,Right leg in first,On your back,None,0
Second Year,6,10,8,Right-handed,Right leg in first,On your back,None,0
Third Year,6,15,8,Right-handed,Right leg in first,On your back,None,0
Second Year,3,3,9,Right-handed,Right leg in first,On your back,None,0
First Year,7,5,9,Right-handed,Right leg in first,On your back,None,0
Third Year,4,5,9,Right-handed,Right leg in first,On your back,None,0
Third Year,5,3,7,Right-handed,I don't know,On your left side,None,0
First Year,3,3,7,Right-handed,I don't know,On your left side,None,0
Fourth Year,3,5,7,Right-handed,I don't know,On your left side,None,0
First Year,8,6,7,Right-handed,I don't know,On your left side,None,0
Second Year,6,8,7,Right-handed,I don't know,On your left side,None,0
Second Year,3,10,7,Right-handed,I don't know,On your left side,None,0
Third Year,6,0,8,Right-handed,I don't know,On your left side,None,0
First Year,6,2,8,Right-handed,I don't know,On your left side,None,0
First Year,5,4,8,Right-handed,I don't know,On your left side,None,0
Second Year,4,6,9,Right-handed,I don't know,On your left side,None,0
Third Year,8,3,7,Ambidextrous,Left leg in first,On your left side,None,0
Second Year,4,4,6,Left-handed,Left leg in first,On your left side,None,0
First Year,2,15,3,Right-handed,Left leg in first,On your left side,None,0
Third Year,8,25,4,Right-handed,Left leg in first,On your left side,None,0
First Year,7,3,5,Right-handed,Left leg in first,On your left side,None,0
Third Year,5,3,6,Right-handed,Left leg in first,On your left side,None,0
First Year,6,4,6,Right-handed,Left leg in first,On your left side,None,0
First Year,3,4,6,Right-handed,Left leg in first,On your left side,None,0
Third Year,6,5,6,Right-handed,Left leg in first,On your left side,None,0
First Year,7,10,6,Right-handed,Left leg in first,On your left side,None,0
Fourth Year,8,5,6.5,Right-handed,Left leg in first,On your left side,None,0
First Year,4,2,7,Right-handed,Left leg in first,On your left side,None,0
Third Year,8,3,7,Right-handed,Left leg in first,On your left side,None,0
Second Year,5,3,7,Right-handed,Left leg in first,On your left side,None,0
Third Year,5,3,7,Right-handed,Left leg in first,On your left side,None,0
Third Year,3,3,7,Right-handed,Left leg in first,On your left side,None,0
First Year,7,4,7,Right-handed,Left leg in first,On your left side,None,0
Second Year,7,4,7,Right-handed,Left leg in first,On your left side,None,0
First Year,3,4,7,Right-handed,Left leg in first,On your left side,None,0
Fourth Year,6,5,7,Right-handed,Left leg in first,On your left side,None,0
Second Year,5,5,7,Right-handed,Left leg in first,On your left side,None,0
First Year,7,7,7,Right-handed,Left leg in first,On your left side,None,0
Third Year,2,7,7,Right-handed,Left leg in first,On your left side,None,0
First Year,4,8,7,Right-handed,Left leg in first,On your left side,None,0
Third Year,3,10,7,Right-handed,Left leg in first,On your left side,None,0
Third Year,8,15,7,Right-handed,Left leg in first,On your left side,None,0
First Year,3,5,7.5,Right-handed,Left leg in first,On your left side,None,0
First Year,5,4,8,Right-handed,Left leg in first,On your left side,None,0
Second Year,6,5,8,Right-handed,Left leg in first,On your left side,None,0
First Year,6,10,8,Right-handed,Left leg in first,On your left side,None,0
Third Year,3,2,10,Right-handed,Left leg in first,On your left side,None,0
Third Year,3,1,7,Left-handed,Right leg in first,On your left side,None,0
First Year,4,10,7,Left-handed,Right leg in first,On your left side,None,0
Second Year,8,5,8,Left-handed,Right leg in first,On your left side,None,0
First Year,4,20,5,Right-handed,Right leg in first,On your left side,None,0
Second Year,8,1,6,Right-handed,Right leg in first,On your left side,None,0
Third Year,4,1,6,Right-handed,Right leg in first,On your left side,None,0
Third Year,7,2,6,Right-handed,Right leg in first,On your left side,None,0
Second Year,3,2,6,Right-handed,Right leg in first,On your left side,None,0
First Year,6,4,6,Right-handed,Right leg in first,On your left side,None,0
First Year,2,4,6,Right-handed,Right leg in first,On your left side,None,0
Third Year,2,4,6,Right-handed,Right leg in first,On your left side,None,0
Second Year,9,10,6,Right-handed,Right leg in first,On your left side,None,0
Second Year,7,10,6,Right-handed,Right leg in first,On your left side,None,0
First Year,6,10,6,Right-handed,Right leg in first,On your left side,None,0
First Year,8,3,7,Right-handed,Right leg in first,On your left side,None,0
First Year,4,4,7,Right-handed,Right leg in first,On your left side,None,0
Third Year,8,5,7,Right-handed,Right leg in first,On your left side,None,0
Fourth Year,4,5,7,Right-handed,Right leg in first,On your left side,None,0
Graduate Student,4,5,7,Right-handed,Right leg in first,On your left side,None,0
Second Year,4,5,7,Right-handed,Right leg in first,On your left side,None,0
Second Year,3,5,7,Right-handed,Right leg in first,On your left side,None,0
Third Year,8,6,7,Right-handed,Right leg in first,On your left side,None,0
First Year,6,6,7,Right-handed,Right leg in first,On your left side,None,0
First Year,6,7,7,Right-handed,Right leg in first,On your left side,None,0
Second Year,5,7,7,Right-handed,Right leg in first,On your left side,None,0
First Year,7,8,7,Right-handed,Right leg in first,On your left side,None,0
Second Year,6,8,7,Right-handed,Right leg in first,On your left side,None,0
First Year,8,10,7,Right-handed,Right leg in first,On your left side,None,0
First Year,7,10,7,Right-handed,Right leg in first,On your left side,None,0
Second Year,1,1,8,Right-handed,Right leg in first,On your left side,None,0
Third Year,5,3,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,5,5,8,Right-handed,Right leg in first,On your left side,None,0
Third Year,4,5,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,9,6,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,7,6,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,5,6,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,4,7,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,7,8,8,Right-handed,Right leg in first,On your left side,None,0
Second Year,5,10,8,Right-handed,Right leg in first,On your left side,None,0
Third Year,4,10,8,Right-handed,Right leg in first,On your left side,None,0
First Year,9,13,8,Right-handed,Right leg in first,On your left side,None,0
Third Year,4,10,7,Left-handed,I don't know,On your right side,None,0
Second Year,4,4,8,Left-handed,I don't know,On your right side,None,0
Second Year,4,5,8,Left-handed,I don't know,On your right side,None,0
Fourth Year,8,20,5,Right-handed,I don't know,On your right side,None,0
Third Year,7,5,6,Right-handed,I don't know,On your right side,None,0
Third Year,3,5,6,Right-handed,I don't know,On your right side,None,0
First Year,7,8,6,Right-handed,I don't know,On your right side,None,0
Fourth Year,8,25,6,Right-handed,I don't know,On your right side,None,0
Third Year,4,12,6.5,Right-handed,I don't know,On your right side,None,0
First Year,4,2,7,Right-handed,I don't know,On your right side,None,0
First Year,4,3,7,Right-handed,I don't know,On your right side,None,0
Third Year,7,5,7,Right-handed,I don't know,On your right side,None,0
First Year,4,8,7,Right-handed,I don't know,On your right side,None,0
First Year,8,10,7,Right-handed,I don't know,On your right side,None,0
First Year,8,10,7,Right-handed,I don't know,On your right side,None,0
First Year,7,10,7,Right-handed,I don't know,On your right side,None,0
First Year,8,20,7,Right-handed,I don't know,On your right side,None,0
Second Year,5,3,8,Right-handed,I don't know,On your right side,None,0
First Year,3,3,8,Right-handed,I don't know,On your right side,None,0
First Year,6,10,8,Right-handed,I don't know,On your right side,None,0
Second Year,3,10,8,Right-handed,I don't know,On your right side,None,0
First Year,2,2,9,Right-handed,I don't know,On your right side,None,0
Second Year,5,5,10,Right-handed,I don't know,On your right side,None,0
First Year,7,5,7.5,Ambidextrous,Left leg in first,On your right side,None,0
Third Year,7,2,8,Left-handed,Left leg in first,On your right side,None,0
Second Year,5,10,8,Left-handed,Left leg in first,On your right side,None,0
First Year,10,6,5,Right-handed,Left leg in first,On your right side,None,0
Third Year,6,6,5,Right-handed,Left leg in first,On your right side,None,0
First Year,8,4,6,Right-handed,Left leg in first,On your right side,None,0
First Year,5,5,6,Right-handed,Left leg in first,On your right side,None,0
First Year,8,10,6,Right-handed,Left leg in first,On your right side,None,0
First Year,3,15,6,Right-handed,Left leg in first,On your right side,None,0
Third Year,5,3,7,Right-handed,Left leg in first,On your right side,None,0
First Year,2,4,7,Right-handed,Left leg in first,On your right side,None,0
Third Year,5,5,7,Right-handed,Left leg in first,On your right side,None,0
Second Year,6,7,7,Right-handed,Left leg in first,On your right side,None,0
Fourth Year,4,1,8,Right-handed,Left leg in first,On your right side,None,0
First Year,5,2,8,Right-handed,Left leg in first,On your right side,None,0
First Year,5,3,8,Right-handed,Left leg in first,On your right side,None,0
Fourth Year,5,5,8,Right-handed,Left leg in first,On your right side,None,0
Third Year,3,5,8,Right-handed,Left leg in first,On your right side,None,0
First Year,8,10,8,Right-handed,Left leg in first,On your right side,None,0
Second Year,8,10,8,Right-handed,Left leg in first,On your right side,None,0
Third Year,8,10,8,Right-handed,Left leg in first,On your right side,None,0
First Year,3,10,8,Right-handed,Left leg in first,On your right side,None,0
Second Year,9,20,8,Right-handed,Left leg in first,On your right side,None,0
Fourth Year,6,3,7,Ambidextrous,Right leg in first,On your right side,None,0
First Year,1,2,6,Left-handed,Right leg in first,On your right side,None,0
Second Year,4,3,6,Left-handed,Right leg in first,On your right side,None,0
First Year,6,4,7,Left-handed,Right leg in first,On your right side,None,0
First Year,8,10,7,Left-handed,Right leg in first,On your right side,None,0
First Year,3,3,8,Left-handed,Right leg in first,On your right side,None,0
First Year,3,6,8,Left-handed,Right leg in first,On your right side,None,0
Fourth Year,10,2,6,Right-handed,Right leg in first,On your right side,None,0
Second Year,4,3,6,Right-handed,Right leg in first,On your right side,None,0
First Year,5,5,6,Right-handed,Right leg in first,On your right side,None,0
Second Year,8,6,6,Right-handed,Right leg in first,On your right side,None,0
First Year,4,8,6,Right-handed,Right leg in first,On your right side,None,0
First Year,5,11,6,Right-handed,Right leg in first,On your right side,None,0
Second Year,8,40,6,Right-handed,Right leg in first,On your right side,None,0
Fifth Year or above,8,3,6.5,Right-handed,Right leg in first,On your right side,None,0
Fourth Year,8,0,7,Right-handed,Right leg in first,On your right side,None,0
Third Year,6,0,7,Right-handed,Right leg in first,On your right side,None,0
First Year,2,2,7,Right-handed,Right leg in first,On your right side,None,0
First Year,7,3,7,Right-handed,Right leg in first,On your right side,None,0
Fourth Year,7,3,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,5,3,7,Right-handed,Right leg in first,On your right side,None,0
First Year,3,3,7,Right-handed,Right leg in first,On your right side,None,0
First Year,5,4,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,5,4,7,Right-handed,Right leg in first,On your right side,None,0
Third Year,4,4,7,Right-handed,Right leg in first,On your right side,None,0
First Year,8,5,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,7,5,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,6,5,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,5,5,7,Right-handed,Right leg in first,On your right side,None,0
First Year,3,5,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,3,5,7,Right-handed,Right leg in first,On your right side,None,0
First Year,6,8,7,Right-handed,Right leg in first,On your right side,None,0
First Year,8,9,7,Right-handed,Right leg in first,On your right side,None,0
First Year,6,9,7,Right-handed,Right leg in first,On your right side,None,0
First Year,4,3,7.5,Right-handed,Right leg in first,On your right side,None,0
Second Year,3,10,7.5,Right-handed,Right leg in first,On your right side,None,0
First Year,3,15,7.5,Right-handed,Right leg in first,On your right side,None,0
Third Year,8,17,7.5,Right-handed,Right leg in first,On your right side,None,0
Third Year,6,1,8,Right-handed,Right leg in first,On your right side,None,0
Second Year,4,1,8,Right-handed,Right leg in first,On your right side,None,0
Third Year,4,2,8,Right-handed,Right leg in first,On your right side,None,0
First Year,8,3,8,Right-handed,Right leg in first,On your right side,None,0
First Year,1,3,8,Right-handed,Right leg in first,On your right side,None,0
Third Year,7,4,8,Right-handed,Right leg in first,On your right side,None,0
First Year,8,5,8,Right-handed,Right leg in first,On your right side,None,0
Second Year,6,5,8,Right-handed,Right leg in first,On your right side,None,0
Fourth Year,4,6,8,Right-handed,Right leg in first,On your right side,None,0
Second Year,3,6,8,Right-handed,Right leg in first,On your right side,None,0
First Year,5,15,8,Right-handed,Right leg in first,On your right side,None,0
Second Year,3,15,8,Right-handed,Right leg in first,On your right side,None,0
Second Year,5,2,9,Right-handed,Right leg in first,On your right side,None,0
Third Year,2,3,7,Right-handed,I don't know,On your stomach,None,0
First Year,5,9,7.5,Right-handed,I don't know,On your stomach,None,0
Third Year,5,3,8,Right-handed,I don't know,On your stomach,None,0
Third Year,8,5,9,Right-handed,I don't know,On your stomach,None,0
Second Year,4,8,9,Right-handed,I don't know,On your stomach,None,0
First Year,5,5,6,Left-handed,Left leg in first,On your stomach,None,0
Fourth Year,4,2,8,Left-handed,Left leg in first,On your stomach,None,0
First Year,5,4,7,Right-handed,Left leg in first,On your stomach,None,0
Second Year,7,10,7,Right-handed,Left leg in first,On your stomach,None,0
Fourth Year,6,3,7.5,Right-handed,Left leg in first,On your stomach,None,0
First Year,6,3,8,Right-handed,Left leg in first,On your stomach,None,0
First Year,7,8,8,Right-handed,Left leg in first,On your stomach,None,0
Fourth Year,1,6,5,Right-handed,Right leg in first,On your stomach,None,0
First Year,2,12,6,Right-handed,Right leg in first,On your stomach,None,0
Second Year,6,1,7,Right-handed,Right leg in first,On your stomach,None,0
Graduate Student,4,1,7,Right-handed,Right leg in first,On your stomach,None,0
First Year,4,3,7,Right-handed,Right leg in first,On your stomach,None,0
First Year,6,5,7,Right-handed,Right leg in first,On your stomach,None,0
Second Year,6,7,7,Right-handed,Right leg in first,On your stomach,None,0
First Year,7,25,7,Right-handed,Right leg in first,On your stomach,None,0
First Year,5,7,8,Right-handed,Right leg in first,On your stomach,None,0
First Year,10,10,8,Right-handed,Right leg in first,On your stomach,None,0
Third Year,3,8,9,Right-handed,Right leg in first,On your stomach,None,0
First Year,5,7,5,Right-handed,Left leg in first,On your back,"None, ",0
Second Year,6,5,7,Right-handed,Left leg in first,On your back,"None, ",0
Second Year,5,3,8,Right-handed,Left leg in first,On your back,"None, ",0
Fourth Year,7,6,5,Right-handed,Right leg in first,On your back,Rabbit,0
Third Year,5,2,8,Right-handed,Right leg in first,On your left side,Rabbit,0
First Year,8,10,7,Right-handed,Right leg in first,On your right side,Rabbit,0
Fourth Year,6,5,8,Right-handed,Right leg in first,On your right side,Rabbit,0
Fourth Year,6,4,8,Right-handed,Right leg in first,On your back,Rat,0
Third Year,5,1,6,Right-handed,Right leg in first,On your right side,Snake,0
Third Year,8,50,7,Right-handed,Right leg in first,On your right side,Snake,0
First Year,5,2,4,Right-handed,Right leg in first,On your left side,Turtle,0
Second Year,6,20,7,Right-handed,Right leg in first,On your left side,Turtle,0
First Year,3,5,8,Right-handed,Right leg in first,On your left side,Turtle,0
Second Year,5,3,7,Right-handed,Left leg in first,On your right side,Turtle,0
Second Year,6,10,8,Right-handed,Left leg in first,On your right side,Turtle,0
First Year,7,4,8,Right-handed,Right leg in first,On your stomach,Turtle,0
Second Year,6,6,7,Right-handed,Left leg in first,On your left side,"Turtle, Rabbit",0
Second Year,8,15,7,Right-handed,Right leg in first,On your right side,"Turtle, Snake, Lizard",0
First Year,7,3,6,Right-handed,Right leg in first,On your back,Bird,1
Fourth Year,7,3,6,Right-handed,Right leg in first,On your back,Bird,1
First Year,5,1,8,Left-handed,Left leg in first,On your right side,Bird,1
Third Year,2,2,7,Right-handed,Left leg in first,On your back,Cat,1
Third Year,6,3,7,Right-handed,Left leg in first,On your back,Cat,1
Second Year,9,5,8,Right-handed,Right leg in first,On your back,Cat,1
Second Year,4,9,7,Left-handed,Left leg in first,On your left side,Cat,1
First Year,7,4,8,Left-handed,Left leg in first,On your left side,Cat,1
Second Year,7,4,8,Right-handed,Left leg in first,On your left side,Cat,1
First Year,5,6,8,Right-handed,Left leg in first,On your left side,Cat,1
Third Year,4,5,6,Right-handed,Right leg in first,On your left side,Cat,1
Second Year,6,10,6.5,Right-handed,Right leg in first,On your left side,Cat,1
Second Year,7,3,10,Right-handed,Right leg in first,On your left side,Cat,1
Fourth Year,9,7,7,Left-handed,Left leg in first,On your right side,Cat,1
Third Year,9,10,7,Right-handed,I don't know,On your stomach,Cat,1
First Year,8,7,8,Right-handed,Right leg in first,On your stomach,"Cat, chicken ",1
Third Year,3,6,6,Left-handed,Left leg in first,On your left side,"Cat, Dog",1
Second Year,8,15,9,Right-handed,I don't know,On your right side,"Cat, Dog",1
First Year,5,20,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",1
Second Year,5,5,7,Right-handed,Right leg in first,On your stomach,"Cat, Dog",1
First Year,7,4,8,Right-handed,Right leg in first,On your stomach,"Cat, Dog",1
Second Year,4,3,8,Right-handed,Left leg in first,On your back,Dog,1
First Year,3,3,8,Right-handed,Right leg in first,On your back,Dog,1
First Year,6,4,8,Right-handed,Right leg in first,On your back,Dog,1
First Year,4,3,6,Ambidextrous,I don't know,On your left side,Dog,1
First Year,5,4,6,Right-handed,I don't know,On your left side,Dog,1
Second Year,8,5,6.5,Right-handed,I don't know,On your left side,Dog,1
First Year,6,5,6,Right-handed,Left leg in first,On your left side,Dog,1
First Year,7,5,8,Right-handed,Left leg in first,On your left side,Dog,1
Second Year,7,50,8,Right-handed,Left leg in first,On your left side,Dog,1
Third Year,4,2,9,Right-handed,Left leg in first,On your left side,Dog,1
Second Year,3,4,6,Right-handed,Right leg in first,On your left side,Dog,1
Third Year,5,5,6,Right-handed,Right leg in first,On your left side,Dog,1
First Year,8,20,8,Right-handed,Right leg in first,On your left side,Dog,1
Second Year,5,4,7,Right-handed,I don't know,On your right side,Dog,1
First Year,7,6,7,Right-handed,I don't know,On your right side,Dog,1
First Year,4,3,7,Right-handed,Right leg in first,On your right side,Dog,1
Third Year,7,5,7,Right-handed,Right leg in first,On your right side,Dog,1
Third Year,8,10,7,Right-handed,Right leg in first,On your right side,Dog,1
Second Year,8,10,8,Right-handed,Right leg in first,On your right side,Dog,1
Second Year,8,10,8,Right-handed,Right leg in first,On your right side,Dog,1
First Year,5,15,9,Right-handed,Right leg in first,On your right side,Dog,1
Second Year,5,7,7,Right-handed,Left leg in first,On your stomach,Dog,1
Third Year,8,8,7,Right-handed,Right leg in first,On your stomach,Dog,1
First Year,3,7,8,Right-handed,Right leg in first,On your stomach,Dog,1
First Year,6,7,7,Right-handed,Right leg in first,On your back,"Dog, Fish",1
Second Year,8,5,6,Right-handed,Right leg in first,On your left side,Fish,1
First Year,8,15,7,Right-handed,Right leg in first,On your stomach,Fish,1
First Year,2,1,7,Right-handed,Left leg in first,On your right side,Hamster or Guinea Pig,1
First Year,9,5,7,Right-handed,I don't know,On your back,None,1
Fourth Year,4,3,8,Right-handed,I don't know,On your back,None,1
First Year,3,7,8,Right-handed,I don't know,On your back,None,1
First Year,8,5,7,Right-handed,Left leg in first,On your back,None,1
Fourth Year,5,6,7,Right-handed,Left leg in first,On your back,None,1
First Year,10,6,4,Right-handed,Right leg in first,On your back,None,1
Fourth Year,4,3,5,Right-handed,Right leg in first,On your back,None,1
First Year,8,10,6,Right-handed,Right leg in first,On your back,None,1
First Year,3,3,8,Right-handed,Right leg in first,On your back,None,1
First Year,9,2,9,Right-handed,Right leg in first,On your back,None,1
First Year,7,1,7,Right-handed,I don't know,On your left side,None,1
First Year,7,6,8,Left-handed,Left leg in first,On your left side,None,1
Second Year,5,4,6,Right-handed,Left leg in first,On your left side,None,1
First Year,7,5,6,Right-handed,Left leg in first,On your left side,None,1
Graduate Student,9,120,8,Right-handed,Left leg in first,On your left side,None,1
Third Year,5,5,5,Right-handed,Right leg in first,On your left side,None,1
First Year,5,2,6,Right-handed,Right leg in first,On your left side,None,1
First Year,4,4,7,Right-handed,Right leg in first,On your left side,None,1
Second Year,3,3,8,Right-handed,Right leg in first,On your left side,None,1
First Year,6,5,8,Right-handed,Right leg in first,On your left side,None,1
Second Year,8,20,7.5,Ambidextrous,I don't know,On your right side,None,1
Fourth Year,2,4,6,Right-handed,I don't know,On your right side,None,1
First Year,4,6,7,Right-handed,I don't know,On your right side,None,1
Third Year,4,2,7.5,Right-handed,I don't know,On your right side,None,1
Second Year,3,4,7,Right-handed,Left leg in first,On your right side,None,1
Second Year,3,2,8,Right-handed,Left leg in first,On your right side,None,1
First Year,4,4,8,Right-handed,Left leg in first,On your right side,None,1
Second Year,6,10,8,Right-handed,Left leg in first,On your right side,None,1
First Year,4,1,6,Right-handed,Right leg in first,On your right side,None,1
First Year,8,4,6,Right-handed,Right leg in first,On your right side,None,1
Third Year,8,20,6,Right-handed,Right leg in first,On your right side,None,1
First Year,4,6,7,Right-handed,Right leg in first,On your right side,None,1
First Year,2,6,7,Right-handed,Right leg in first,On your right side,None,1
First Year,8,20,7,Right-handed,Right leg in first,On your right side,None,1
Fourth Year,9,2,8,Right-handed,Right leg in first,On your right side,None,1
Second Year,4,2,8,Right-handed,Right leg in first,On your right side,None,1
Second Year,8,15,7,Right-handed,I don't know,On your left side,"None, ",1
First Year,8,3,6,Right-handed,I don't know,On your right side,Turtle,1
First Year,8,10,8,Right-handed,Left leg in first,On your stomach,2 hens!!,2
Second Year,6,4,8,Right-handed,I don't know,On your right side,Bird,2
First Year,8,5,8,Right-handed,Right leg in first,On your right side,Bird,2
Second Year,9,5,7.5,Right-handed,I don't know,On your back,Cat,2
Third Year,8,2,6,Right-handed,Left leg in first,On your back,Cat,2
Fourth Year,4,3,8,Right-handed,Left leg in first,On your back,Cat,2
Third Year,3,2,7,Left-handed,Right leg in first,On your back,Cat,2
First Year,5,7,5,Right-handed,Right leg in first,On your back,Cat,2
First Year,5,13,7,Right-handed,Right leg in first,On your back,Cat,2
Fourth Year,3,4,8,Right-handed,Right leg in first,On your back,Cat,2
First Year,8,5,8,Right-handed,Right leg in first,On your back,Cat,2
Fourth Year,7,4,8,Ambidextrous,Right leg in first,On your back,Cat,2
First Year,4,5,6,Left-handed,Left leg in first,On your left side,Cat,2
First Year,8,10,7,Left-handed,Left leg in first,On your left side,Cat,2
Second Year,4,2,7,Right-handed,Left leg in first,On your left side,Cat,2
First Year,4,15,7,Right-handed,Left leg in first,On your left side,Cat,2
Second Year,7,22,6.5,Right-handed,Right leg in first,On your left side,Cat,2
Fourth Year,3,5,7,Right-handed,Right leg in first,On your left side,Cat,2
First Year,3,3,8,Right-handed,Right leg in first,On your left side,Cat,2
Third Year,5,10,9,Right-handed,Right leg in first,On your left side,Cat,2
Third Year,5,10,5,Right-handed,I don't know,On your right side,Cat,2
First Year,5,2,6,Right-handed,I don't know,On your right side,Cat,2
Fifth Year or above,3,3,6,Right-handed,I don't know,On your right side,Cat,2
Fifth Year or above,5,3,7,Right-handed,I don't know,On your right side,Cat,2
Second Year,9,5,7,Right-handed,I don't know,On your right side,Cat,2
Fourth Year,4,10,8,Right-handed,I don't know,On your right side,Cat,2
First Year,7,7,9,Right-handed,I don't know,On your right side,Cat,2
Second Year,7,6,7,Left-handed,Left leg in first,On your right side,Cat,2
Third Year,2,1,8,Left-handed,Left leg in first,On your right side,Cat,2
First Year,8,10,7,Right-handed,Left leg in first,On your right side,Cat,2
Second Year,5,5,8,Right-handed,Left leg in first,On your right side,Cat,2
Second Year,3,7,4.5,Right-handed,Right leg in first,On your right side,Cat,2
First Year,7,3,5,Right-handed,Right leg in first,On your right side,Cat,2
Second Year,1,2,6,Right-handed,Right leg in first,On your right side,Cat,2
Third Year,4,2,7,Right-handed,Right leg in first,On your right side,Cat,2
First Year,5,4,7,Right-handed,Right leg in first,On your right side,Cat,2
First Year,8,1,8,Right-handed,Right leg in first,On your right side,Cat,2
First Year,4,3,8,Right-handed,Right leg in first,On your right side,Cat,2
First Year,7,25,7,Right-handed,Left leg in first,On your stomach,Cat,2
Fourth Year,7,15,8,Right-handed,Left leg in first,On your stomach,Cat,2
Fourth Year,5,3,5,Right-handed,Right leg in first,On your stomach,Cat,2
Fourth Year,2,3,6,Right-handed,Right leg in first,On your stomach,Cat,2
Second Year,5,3,7,Right-handed,Right leg in first,On your stomach,Cat,2
Third Year,5,4,7,Right-handed,Right leg in first,On your stomach,Cat,2
First Year,3,8,7,Right-handed,Right leg in first,On your stomach,Cat,2
Third Year,5,6,8,Right-handed,Right leg in first,On your right side,"Cat, Button Quail ",2
First Year,3,3,6,Right-handed,Left leg in first,On your back,"Cat, Dog",2
Second Year,8,4,8,Right-handed,Right leg in first,On your back,"Cat, Dog",2
Fourth Year,8,4,7,Right-handed,I don't know,On your left side,"Cat, Dog",2
First Year,4,5,7,Right-handed,I don't know,On your left side,"Cat, Dog",2
First Year,8,9,8,Left-handed,Right leg in first,On your left side,"Cat, Dog",2
First Year,3,7,6,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
First Year,5,4,6.5,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
Second Year,3,2,7,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
Second Year,4,10,7,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
First Year,2,2,8,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
Second Year,4,3,8,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
Second Year,4,2,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",2
First Year,6,6,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",2
Third Year,6,10,6,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
First Year,8,4,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
Second Year,6,9,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
Second Year,7,5,8,Right-handed,Left leg in first,On your stomach,"Cat, Dog",2
Second Year,3,15,7.5,Left-handed,Right leg in first,On your stomach,"Cat, Dog",2
First Year,4,9,6,Right-handed,Right leg in first,On your stomach,"Cat, Dog",2
Third Year,8,15,8,Right-handed,Right leg in first,On your stomach,"Cat, Dog",2
Third Year,3,2,10,Right-handed,Right leg in first,On your stomach,"Cat, Dog",2
Third Year,7,4,7.5,Left-handed,Left leg in first,On your left side,"Cat, Dog, Bird",2
Second Year,7,9,10,Right-handed,Left leg in first,On your left side,"Cat, Dog, Chickens",2
